text,words,tokens,group,complexity,source,length_matched,original_text,original_words
hand hand mouth patient oral mucosa torso patient No trauma. No focal deficits. No weight loss. No weakness. No chills. No bleeding. No recent illness. No seizures. No confusion. No vomiting. Heart rate normal. Heart rate 72. Blood pressure normal. Blood pressure 120/80. Temperature 98.6F. Neurological exam normal. Motor strength 5/5 throughout. HEENT normal. No focal deficits noted. Gait normal.,60,78,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,hand hand mouth patient oral mucosa torso patient,8
rectal No photophobia. No trauma. No dyspnea. No seizures. No fever. No vision changes. No bleeding. No confusion. No weakness. No neck stiffness. Blood pressure normal. Heart rate normal. Blood pressure 120/80. Temperature 98.6F. Heart rate 72. Gait normal. Reflexes 2+ symmetric. HEENT normal. Neurological exam normal. Sensory exam intact. Extremities exam normal. Cardiovascular exam normal.,56,72,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,rectal,1
beta muscle muscle right frontal head awake/alert/drowsy right frontal No fever. No chest pain. No photophobia. No vision changes. No confusion. No palpitations. No dyspnea. No focal deficits. No weight loss. No neck stiffness. Temperature 98.6F. Heart rate normal. Heart rate 72. Blood pressure 120/80. Respiratory rate 16. Vital signs stable. Abdominal exam normal. Respiratory exam normal. Lungs clear bilaterally.,60,78,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,beta muscle muscle right frontal head awake/alert/drowsy right frontal,9
rectal bowel No bleeding. No fever. No vision changes. No chills. No dyspnea. No palpitations. No night sweats. No weight loss. No weakness. No trauma. Respiratory rate 16. Temperature 98.6F. Heart rate normal. Blood pressure 120/80. Blood pressure normal. Abdominal exam normal. Neurological exam normal. No focal deficits noted. Extremities exam normal. Skin exam normal. Reflexes 2+ symmetric.,58,75,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,rectal bowel,2
"bladder tumor.,2 bladder carcinoma No syncope. No dyspnea. No vision changes. No confusion. No seizures. No chest pain. No weight loss. No focal deficits. No night sweats. No weakness. Heart rate 72. Blood pressure normal. Respiratory rate 16. Blood pressure 120/80. Heart rate normal. Sensory exam intact. HEENT normal. Cardiovascular exam normal. Motor strength 5/5 throughout. Abdominal exam normal.",59,76,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,"bladder tumor.,2 bladder carcinoma",4
hair leg foot No vision changes. No vomiting. No nausea. No recent illness. No chills. No weakness. No weight loss. No seizures. No chest pain. No bleeding. Temperature 98.6F. Blood pressure normal. Respiratory rate 16. Temperature normal. Heart rate normal. Vital signs stable. Gait normal. Extremities exam normal. Sensory exam intact. Skin exam normal. Abdominal exam normal.,57,74,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,hair leg foot,3
lidocaine ointment rectal vault perirectal inspection rectal rectum colon patient No fever. No nausea. No dyspnea. No chest pain. No confusion. No trauma. No neck stiffness. No chills. No vision changes. No weight loss. Blood pressure 120/80. Heart rate 72. Temperature normal. Heart rate normal. Temperature 98.6F. Extremities exam normal. Skin exam normal. Sensory exam intact. Vital signs stable.,59,76,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,lidocaine ointment rectal vault perirectal inspection rectal rectum colon patient,10
nasal mucosa airway bronchoalveolar lavage saline bronchus bronchoscopy No recent illness. No weakness. No syncope. No chest pain. No focal deficits. No weight loss. No dyspnea. No fever. No chills. No nausea. Blood pressure normal. Respiratory rate 16. Temperature 98.6F. Temperature normal. Heart rate 72. Neurological exam normal. Vital signs stable. Gait normal. Cardiovascular exam normal. Cranial nerves intact.,59,76,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,nasal mucosa airway bronchoalveolar lavage saline bronchus bronchoscopy,8
blood 102/72 patient No focal deficits. No dyspnea. No photophobia. No vomiting. No night sweats. No neck stiffness. No weakness. No chest pain. No weight loss. No recent illness. Oxygen saturation 98%. Blood pressure normal. Respiratory rate 16. Heart rate 72. Blood pressure 120/80. Cardiovascular exam normal. HEENT normal. Neurological exam normal. Cranial nerves intact. Lungs clear bilaterally.,58,75,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,blood 102/72 patient,3
intrasellar sella turcica craniocaudal mediolateral No syncope. No nausea. No vision changes. No chest pain. No neck stiffness. No night sweats. No recent illness. No weakness. No dyspnea. No seizures. Temperature 98.6F. Heart rate normal. Temperature normal. Oxygen saturation 98%. Heart rate 72. Neurological exam normal. Respiratory exam normal. No focal deficits noted. Cardiovascular exam normal. HEENT normal.,58,75,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,intrasellar sella turcica craniocaudal mediolateral,5
blood patient sheath dilator subcutaneous pocket wound blood No seizures. No trauma. No chest pain. No photophobia. No syncope. No dyspnea. No night sweats. No nausea. No chills. No fever. Heart rate 72. Temperature 98.6F. Respiratory rate 16. Blood pressure normal. Oxygen saturation 98%. No focal deficits noted. Skin exam normal. Sensory exam intact. Neurological exam normal. Cardiovascular exam normal.,60,78,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,blood patient sheath dilator subcutaneous pocket wound blood,8
"bowel c-spine nerve moderate.,2 mild.,3 c8/t1 patient c-spine No vision changes. No nausea. No syncope. No photophobia. No chest pain. No neck stiffness. No palpitations. No dyspnea. No night sweats. No recent illness. Temperature 98.6F. Heart rate normal. Heart rate 72. Respiratory rate 16. Blood pressure 120/80. HEENT normal. Neurological exam normal. Motor strength 5/5 throughout. Cardiovascular exam normal.",59,76,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,"bowel c-spine nerve moderate.,2 mild.,3 c8/t1 patient c-spine",8
biopsy 44-year-old man coffee-ground patient fentanyl 75 patient patient mouth No chills. No confusion. No neck stiffness. No vision changes. No weight loss. No photophobia. No night sweats. No weakness. No fever. No dyspnea. Respiratory rate 16. Blood pressure normal. Oxygen saturation 98%. Temperature 98.6F. Heart rate 72. Reflexes 2+ symmetric. Abdominal exam normal. Sensory exam intact. Motor strength 5/5 throughout.,61,79,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,biopsy 44-year-old man coffee-ground patient fentanyl 75 patient patient mouth,10
 No nausea. No focal deficits. No confusion. No weakness. No photophobia. No vision changes. No chills. No chest pain. No palpitations. No seizures. Blood pressure 120/80. Heart rate normal. Temperature normal. Blood pressure normal. Oxygen saturation 98%. Reflexes 2+ symmetric. No focal deficits noted. Sensory exam intact. Abdominal exam normal. Lungs clear bilaterally. Respiratory exam normal. Skin exam normal.,59,76,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,,0
hdr patient patient patient hdr geiger-muller patient No recent illness. No trauma. No seizures. No chills. No focal deficits. No weight loss. No vomiting. No dyspnea. No vision changes. No bleeding. Oxygen saturation 98%. Respiratory rate 16. Blood pressure 120/80. Blood pressure normal. Heart rate 72. Cranial nerves intact. Skin exam normal. Lungs clear bilaterally. No focal deficits noted. Respiratory exam normal.,62,80,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,hdr patient patient patient hdr geiger-muller patient,7
kidney caliceal system bladder intravenous urogram No vision changes. No weakness. No recent illness. No photophobia. No chest pain. No bleeding. No nausea. No dyspnea. No confusion. No night sweats. Heart rate 72. Temperature 98.6F. Temperature normal. Respiratory rate 16. Blood pressure 120/80. Abdominal exam normal. Cranial nerves intact. Respiratory exam normal. Cardiovascular exam normal. Neurological exam normal.,58,75,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,kidney caliceal system bladder intravenous urogram,6
"spine paraspinal intervertebral tissue changes.,3 renal No fever. No chills. No dyspnea. No palpitations. No weight loss. No focal deficits. No nausea. No confusion. No neck stiffness. No photophobia. Respiratory rate 16. Heart rate normal. Heart rate 72. Temperature normal. Oxygen saturation 98%. Cranial nerves intact. Abdominal exam normal. Lungs clear bilaterally. Vital signs stable. Neurological exam normal.",58,75,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,"spine paraspinal intervertebral tissue changes.,3 renal",6
fetal cardiac fetal uterus adnexa amniotic fluid bpd No dyspnea. No focal deficits. No syncope. No weight loss. No bleeding. No chills. No confusion. No trauma. No recent illness. No weakness. Temperature normal. Oxygen saturation 98%. Blood pressure normal. Respiratory rate 16. Temperature 98.6F. Motor strength 5/5 throughout. Vital signs stable. Neurological exam normal. Skin exam normal. Cardiovascular exam normal.,60,78,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,fetal cardiac fetal uterus adnexa amniotic fluid bpd,8
blood 102/72 patient No night sweats. No chest pain. No dyspnea. No neck stiffness. No fever. No bleeding. No trauma. No chills. No recent illness. No vomiting. Blood pressure normal. Oxygen saturation 98%. Temperature 98.6F. Blood pressure 120/80. Respiratory rate 16. Motor strength 5/5 throughout. Cranial nerves intact. No focal deficits noted. Lungs clear bilaterally. Abdominal exam normal. Sensory exam intact.,61,79,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,blood 102/72 patient,3
patient patient patient visuospatial patient patient patient No recent illness. No vomiting. No weakness. No neck stiffness. No dyspnea. No confusion. No seizures. No syncope. No night sweats. No palpitations. Temperature 98.6F. Heart rate 72. Oxygen saturation 98%. Blood pressure normal. Respiratory rate 16. Motor strength 5/5 throughout. Vital signs stable. HEENT normal. No focal deficits noted. Cardiovascular exam normal.,60,78,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,patient patient patient visuospatial patient patient patient,7
vehicular patient patient patient patient patient patient paresthesia No vision changes. No seizures. No focal deficits. No syncope. No weakness. No chills. No night sweats. No nausea. No confusion. No photophobia. Blood pressure normal. Heart rate 72. Respiratory rate 16. Oxygen saturation 98%. Temperature 98.6F. Sensory exam intact. Extremities exam normal. Motor strength 5/5 throughout. No focal deficits noted. Gait normal.,61,79,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,vehicular patient patient patient patient patient patient paresthesia,8
lung lung No seizures. No neck stiffness. No chills. No recent illness. No trauma. No confusion. No syncope. No vision changes. No fever. No bleeding. Oxygen saturation 98%. Heart rate normal. Blood pressure normal. Blood pressure 120/80. Respiratory rate 16. Abdominal exam normal. Reflexes 2+ symmetric. No focal deficits noted. Sensory exam intact. Gait normal. Respiratory exam normal.,58,75,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,lung lung,2
 No fever. No neck stiffness. No seizures. No confusion. No dyspnea. No nausea. No palpitations. No vision changes. No vomiting. No trauma. Heart rate 72. Temperature normal. Blood pressure 120/80. Respiratory rate 16. Temperature 98.6F. Skin exam normal. Cardiovascular exam normal. Lungs clear bilaterally. Gait normal. Respiratory exam normal. No focal deficits noted. Motor strength 5/5 throughout.,57,74,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,,0
"bowel c-spine nerve moderate.,2 mild.,3 c8/t1 patient c-spine No recent illness. No seizures. No fever. No weakness. No bleeding. No night sweats. No confusion. No vision changes. No weight loss. No syncope. Heart rate normal. Temperature 98.6F. Heart rate 72. Respiratory rate 16. Temperature normal. Motor strength 5/5 throughout. Extremities exam normal. Reflexes 2+ symmetric. Gait normal. No focal deficits noted.",61,79,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,"bowel c-spine nerve moderate.,2 mild.,3 c8/t1 patient c-spine",8
patient anus colon mucosa rectum No night sweats. No seizures. No bleeding. No weight loss. No recent illness. No neck stiffness. No weakness. No vomiting. No palpitations. No chest pain. Respiratory rate 16. Blood pressure normal. Heart rate normal. Temperature normal. Temperature 98.6F. Cranial nerves intact. Extremities exam normal. Motor strength 5/5 throughout. Gait normal. Abdominal exam normal.,58,75,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,patient anus colon mucosa rectum,5
 No chills. No vomiting. No photophobia. No dyspnea. No focal deficits. No palpitations. No confusion. No seizures. No nausea. No weakness. Blood pressure 120/80. Temperature 98.6F. Blood pressure normal. Temperature normal. Heart rate normal. Lungs clear bilaterally. Cranial nerves intact. Reflexes 2+ symmetric. Abdominal exam normal. HEENT normal. Respiratory exam normal. Sensory exam intact. Gait normal.,56,72,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,,0
lateral No photophobia. No night sweats. No weakness. No vomiting. No weight loss. No focal deficits. No trauma. No vision changes. No neck stiffness. No syncope. Respiratory rate 16. Blood pressure 120/80. Heart rate normal. Temperature normal. Temperature 98.6F. Gait normal. Cranial nerves intact. Neurological exam normal. Reflexes 2+ symmetric. Cardiovascular exam normal. Vital signs stable.,56,72,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,lateral,1
phentermine phentermine blood bruits cardiac extra phentermine phentermine No photophobia. No confusion. No palpitations. No seizures. No focal deficits. No vision changes. No vomiting. No dyspnea. No weakness. No neck stiffness. Oxygen saturation 98%. Blood pressure normal. Blood pressure 120/80. Heart rate normal. Heart rate 72. Motor strength 5/5 throughout. Gait normal. HEENT normal. Vital signs stable. Cardiovascular exam normal.,60,78,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,phentermine phentermine blood bruits cardiac extra phentermine phentermine,8
